epoch: 192579, loss: 10.82, wins per 10: 5, avg piece diff: 1.8
epoch: 192589, loss: 4.45, wins per 10: 3, avg piece diff: -1.8
epoch: 192599, loss: 5.24, wins per 10: 3, avg piece diff: -7.0
epoch: 192609, loss: 3.36, wins per 10: 6, avg piece diff: -4.2
epoch: 192619, loss: 8.00, wins per 10: 2, avg piece diff: -5.2
epoch: 192629, loss: 2.87, wins per 10: 2, avg piece diff: -5.0
epoch: 192639, loss: 4.14, wins per 10: 2, avg piece diff: -3.4
epoch: 192649, loss: 4.93, wins per 10: 2, avg piece diff: -6.0
epoch: 192659, loss: 10.05, wins per 10: 1, avg piece diff: -7.6
epoch: 192669, loss: 4.97, wins per 10: 4, avg piece diff: -4.2
epoch: 192679, loss: 13.14, wins per 10: 4, avg piece diff: -4.4
epoch: 192689, loss: 5.59, wins per 10: 3, avg piece diff: -5.0
epoch: 192699, loss: 9.42, wins per 10: 7, avg piece diff: 2.4
epoch: 192709, loss: 7.32, wins per 10: 3, avg piece diff: -8.4
epoch: 192719, loss: 6.27, wins per 10: 4, avg piece diff: -4.6
epoch: 192729, loss: 5.99, wins per 10: 3, avg piece diff: 1.4
epoch: 192739, loss: 5.94, wins per 10: 4, avg piece diff: -2.4
epoch: 192749, loss: 4.08, wins per 10: 2, avg piece diff: -5.6
epoch: 192759, loss: 4.07, wins per 10: 4, avg piece diff: 0.2
epoch: 192769, loss: 7.98, wins per 10: 3, avg piece diff: -4.4
epoch: 192779, loss: 9.20, wins per 10: 1, avg piece diff: -6.4
epoch: 192789, loss: 6.88, wins per 10: 2, avg piece diff: -5.8
epoch: 192799, loss: 9.47, wins per 10: 4, avg piece diff: -5.2
epoch: 192809, loss: 5.65, wins per 10: 3, avg piece diff: -5.6
epoch: 192819, loss: 7.53, wins per 10: 3, avg piece diff: -4.8
epoch: 192829, loss: 6.22, wins per 10: 2, avg piece diff: -9.6
epoch: 192839, loss: 5.92, wins per 10: 3, avg piece diff: -2.0
epoch: 192849, loss: 8.26, wins per 10: 3, avg piece diff: -3.8
epoch: 192859, loss: 8.60, wins per 10: 6, avg piece diff: -0.2
epoch: 192869, loss: 5.37, wins per 10: 3, avg piece diff: -2.4
epoch: 192879, loss: 30.03, wins per 10: 2, avg piece diff: -8.4
epoch: 192889, loss: 8.86, wins per 10: 4, avg piece diff: 0.0
epoch: 192899, loss: 13.15, wins per 10: 5, avg piece diff: -2.8
